172.016.112.020,192.168.001.010,06/01/1998-07:55,-,475
172.016.112.020,192.168.001.010,06/01/1998-07:55,-,475
192.168.001.005,192.168.001.001,06/01/1998-08:01,-,481
192.168.001.005,192.168.001.001,06/01/1998-08:01,-,481
192.168.001.010,172.016.112.020,06/01/1998-08:02,-,482
192.168.001.010,172.016.112.020,06/01/1998-08:02,-,482
197.218.177.069,172.016.114.207,06/01/1998-08:02,-,482
194.007.248.153,172.016.114.148,06/01/1998-08:02,-,482
172.016.114.207,197.182.091.233,06/01/1998-08:03,-,483
172.016.112.020,194.027.251.021,06/01/1998-08:03,-,483
194.027.251.021,172.016.113.050,06/01/1998-08:03,-,483
194.027.251.021,172.016.113.105,06/01/1998-08:03,-,483
172.016.112.020,192.168.001.020,06/01/1998-08:03,-,483
172.016.112.020,192.168.001.020,06/01/1998-08:03,-,483
135.013.216.191,172.016.114.207,06/01/1998-08:04,-,484
172.016.112.207,197.182.091.233,06/01/1998-08:04,-,484
194.007.248.153,172.016.114.148,06/01/1998-08:04,-,484
135.008.060.182,172.016.112.050,06/01/1998-08:05,format_clear,485
172.016.112.149,197.218.177.069,06/01/1998-08:05,-,485
172.016.113.204,197.218.177.069,06/01/1998-08:06,-,486
196.037.075.158,172.016.114.168,06/01/1998-08:06,-,486
195.073.151.050,172.016.114.050,06/01/1998-08:06,-,486
172.016.114.050,195.073.151.050,06/01/1998-08:06,-,486
195.073.151.050,172.016.113.050,06/01/1998-08:06,-,486
172.016.112.020,195.073.151.050,06/01/1998-08:06,-,486
195.073.151.050,172.016.112.149,06/01/1998-08:06,-,486
135.008.060.182,172.016.112.050,06/01/1998-08:07,ffb_clear,487
172.016.113.204,194.027.251.021,06/01/1998-08:07,-,487
172.016.115.005,131.084.001.031,06/01/1998-08:07,-,487
172.016.115.005,131.084.001.031,06/01/1998-08:07,-,487
172.016.115.005,131.084.001.031,06/01/1998-08:07,-,487
172.016.115.005,131.084.001.031,06/01/1998-08:07,-,487
172.016.115.005,131.084.001.031,06/01/1998-08:07,-,487
172.016.115.005,131.084.001.031,06/01/1998-08:07,-,487
172.016.115.005,131.084.001.031,06/01/1998-08:07,-,487
172.016.112.020,135.008.060.182,06/01/1998-08:07,-,487
172.016.114.148,135.008.060.182,06/01/1998-08:07,-,487
172.016.114.207,194.027.251.021,06/01/1998-08:07,-,487
172.016.114.148,197.182.091.233,06/01/1998-08:07,-,487
172.016.115.005,204.071.200.244,06/01/1998-08:07,-,487
172.016.115.005,204.071.200.244,06/01/1998-08:07,-,487
172.016.115.005,204.071.200.244,06/01/1998-08:07,-,487
172.016.115.005,204.071.177.070,06/01/1998-08:07,-,487
172.016.112.050,135.008.060.182,06/01/1998-08:08,-,488
172.016.114.168,135.013.216.191,06/01/1998-08:08,-,488
172.016.114.207,135.013.216.191,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.115.005,167.008.029.015,06/01/1998-08:08,-,488
172.016.117.103,136.149.142.178,06/01/1998-08:08,-,488
172.016.117.103,136.149.142.178,06/01/1998-08:08,-,488
172.016.117.103,136.149.142.178,06/01/1998-08:08,-,488
172.016.117.103,136.149.142.178,06/01/1998-08:08,-,488
172.016.117.103,136.149.142.178,06/01/1998-08:08,-,488
172.016.117.103,136.149.142.178,06/01/1998-08:08,-,488
172.016.117.103,136.149.142.178,06/01/1998-08:08,-,488
172.016.117.103,136.149.142.178,06/01/1998-08:08,-,488
172.016.117.103,136.149.142.178,06/01/1998-08:09,-,489
172.016.117.103,136.149.142.178,06/01/1998-08:09,-,489
172.016.117.103,136.149.142.178,06/01/1998-08:09,-,489
172.016.114.169,135.013.216.191,06/01/1998-08:09,-,489
172.016.113.105,194.027.251.021,06/01/1998-08:09,-,489
172.016.113.204,194.027.251.021,06/01/1998-08:09,-,489
172.016.112.050,135.008.060.182,06/01/1998-08:09,-,489
172.016.112.207,197.218.177.069,06/01/1998-08:10,-,490
172.016.114.169,194.027.251.021,06/01/1998-08:10,-,490
172.016.112.194,194.027.251.021,06/01/1998-08:10,-,490
192.168.001.010,192.168.001.020,06/01/1998-08:10,-,490
192.168.001.010,192.168.001.020,06/01/1998-08:10,-,490
192.168.001.010,172.016.112.050,06/01/1998-08:10,-,490
192.168.001.001,192.168.001.005,06/01/1998-08:11,-,491
172.016.117.103,136.149.142.178,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
172.016.117.103,207.025.071.143,06/01/1998-08:11,-,491
